n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,0.45025906,0.53950423,0.5291606,0.4436261,0.45572785,0.483655568,0.046603174441651185
2,0.4284237,0.40823954,0.37599194,0.3590157,0.3219946,0.37873309600000005,0.0416993193379374
3,0.3692789,0.39741296,0.39614782,0.32389167,0.35815543,0.36897735600000003,0.03040041850881381
4,0.3593199,0.2792183,0.3483946,0.28464776,0.30389565,0.315095242,0.03675698099275593
5,0.3495795,0.31022897,0.31202447,0.25406402,0.31445706,0.30807080400000003,0.03428110989547931
6,0.32251543,0.28159708,0.32269388,0.26344416,0.24392359,0.28683482800000004,0.03526651623605414
7,0.31904486,0.30358827,0.28502744,0.25351372,0.23230651,0.27869615999999997,0.035615568049157234
8,0.27005953,0.28535062,0.24181923,0.21317297,0.22837912,0.247756294,0.029654247518362865
9,0.24291658,0.26833686,0.2562014,0.23079363,0.2046743,0.240584554,0.024520008399714716
10,0.22815782,0.24212477,0.24583705,0.22697094,0.2234911,0.23331633599999999,0.009972040773794997
11,0.2580344,0.23779923,0.23223296,0.21702956,0.22160298,0.233339826,0.01608346785084858
12,0.25271624,0.23149274,0.21279025,0.20433047,0.23384658,0.22703525600000002,0.019001340352047008
13,0.22086355,0.21750936,0.20458864,0.1803682,0.17814429,0.200294808,0.020159154839188318
14,0.22794057,0.20216107,0.21362007,0.18439656,0.1884548,0.203314614,0.0179769132173972
15,0.20771925,0.20167324,0.19275385,0.17812729,0.16911253,0.189877232,0.016085648326369065
16,0.2066957,0.1935552,0.18368873,0.17347336,0.14859706,0.18120201000000002,0.02197457681433024
17,0.19153732,0.1780699,0.19595933,0.17005205,0.16941819,0.181007358,0.012220861408050168
18,0.19616248,0.17911051,0.15731394,0.14764255,0.15544096,0.16713408800000001,0.019994792001915646
19,0.19865924,0.16393691,0.14813915,0.15803847,0.1486372,0.16348219400000003,0.02075480853296965
20,0.17126219,0.16833702,0.15437669,0.13648778,0.16277343,0.158647422,0.01395827271276321
21,0.17348635,0.17339608,0.13632345,0.14154509,0.13437736,0.151825666,0.019905528864811155
22,0.16807522,0.15309173,0.12697777,0.14355512,0.13803636,0.14594723999999998,0.015563067570294428
23,0.15461372,0.1585468,0.13765116,0.1354275,0.14737484,0.14672280399999998,0.010153536391173272
24,0.1462501,0.15214247,0.13703158,0.13935867,0.13791989,0.14254054199999996,0.006476519870259805
25,0.14533886,0.1369551,0.13137585,0.114708126,0.13077924,0.13183143519999999,0.01121633692747526
