n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,0.620258,0.6312964,0.6071234,0.65136826,0.6457517,0.631159552,0.018151596545717984
2,0.6574452,0.5731485,0.5288801,0.65277666,0.58181036,0.598812164,0.055200041448287704
3,1.0244879,0.9336436,0.8454162,1.0383646,0.943099,0.95700226,0.07804568918017189
4,1.2848854,1.1825646,1.0958459,1.3297522,1.2359486,1.22579934,0.09104601361090991
5,1.4764476,1.3919115,1.3240049,1.549478,1.484274,1.4452232,0.08789909708128403
6,1.614257,1.5410314,1.490545,1.6974627,1.6465881,1.5979768399999998,0.08262856335876231
7,1.7262573,1.6687245,1.6338785,1.7835646,1.7249374,1.70747246,0.057804375840960376
8,1.7708211,1.7665471,1.723273,1.847363,1.7867299,1.7789468200000003,0.04489071350253861
9,1.8127906,1.8434386,1.7835755,1.8914939,1.7958591,1.8254315399999999,0.04322829014294921
10,1.8152268,1.8854085,1.8253926,1.9196215,1.8142668,1.8519832399999998,0.04788739417960643
11,1.8344707,1.8872349,1.8327249,1.9148302,1.8175482,1.8573617800000002,0.04156657656082582
12,1.8274766,1.8913413,1.8137007,1.8953992,1.81266,1.8481155599999997,0.041748213146828174
13,1.829659,1.8565352,1.7858924,1.874604,1.7893873,1.82721558,0.039528017726063576
14,1.808047,1.8351097,1.748729,1.8557761,1.756711,1.8008745599999998,0.04718910695364982
15,1.7692412,1.8022258,1.7022121,1.8304168,1.7236038,1.76553994,0.053239115718971185
16,1.740864,1.7595607,1.6506298,1.8033537,1.6748325,1.72584814,0.06250903690901821
17,1.7065339,1.7067566,1.6146894,1.772038,1.6305249,1.6861085599999999,0.06406567802414176
18,1.670815,1.6547521,1.5514858,1.7305288,1.5856869,1.63865372,0.07095467988953937
19,1.630743,1.5895041,1.5035074,1.6817092,1.5418196,1.5894566600000002,0.07048343783753745
20,1.5888033,1.5381069,1.449961,1.6493603,1.5038509,1.54601648,0.07677533772059873
21,1.5514448,1.4854678,1.3965156,1.6058908,1.4633179,1.5005273799999999,0.0808143252523462
22,1.4989696,1.4382222,1.3501782,1.5588791,1.4262536,1.45450054,0.07876929236788913
23,1.4559432,1.4023492,1.3080671,1.5084038,1.3878413,1.41252092,0.07533619502136409
24,1.4115818,1.3648243,1.2706292,1.4589624,1.3534132,1.37188218,0.07035998044806442
25,1.3649443,1.3301535,1.2257078,1.4143336,1.3223059,1.33148902,0.06938706652998818
26,1.3289673,1.2914746,1.1760703,1.3708155,1.2916496,1.29179546,0.07248853235838758
27,1.2978514,1.2638634,1.1284075,1.3155652,1.2558763,1.25231276,0.07343920692724698
28,1.2558687,1.2248482,1.0851643,1.2824826,1.2228117,1.2142351,0.07621769033009988
29,1.2258669,1.1938702,1.0539927,1.242639,1.1835225,1.17997826,0.07434723360867572
30,1.1943479,1.166503,1.018719,1.2002125,1.1557426,1.147105,0.07413864324766808
31,1.164903,1.1358427,0.98716486,1.1792945,1.1273999,1.118920992,0.07661138937855334
32,1.1296804,1.1101806,0.94877636,1.1519756,1.1050111,1.089124812,0.08060456811459711
33,1.096061,1.0783193,0.92742574,1.1318904,1.0886605,1.064471388,0.0792174447442211
34,1.0619764,1.0501732,0.9079931,1.1198955,1.0790503,1.0438177,0.08038597590173922
35,1.0376375,1.0238392,0.884426,1.0905868,1.0653493,1.02036776,0.08022547825742768
36,1.0237947,1.0037522,0.86267394,1.0732526,1.0518055,1.003055788,0.08282779959584656
37,1.0082396,0.9823727,0.84562135,1.0572627,1.027031,0.98410547,0.08209429280095847
38,0.9953655,0.9640391,0.8346475,1.0351467,1.0123932,0.9683184,0.07909863653951314
